Source,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35
HSX,ADG,ADG,10.15,10.85,9.44,"5,50","10.106,3010.151,1010.205,70",10.10,"6,30",10.15,"1,10",10.20,"5,70",10.4530+0.30+2.96%,10.45,30,+0.30,+2.96%,"10.501,0010.558010.602,00",10.50,"1,00",10.55,80,10.60,"2,00",10.6010.3310.20,10.60,10.33,10.20,,,,,,
HSX,ADP,ADP,28.80,30.80,26.80,"3,30","28.606028.652,9028.7020",28.60,60,28.65,"2,90",28.70,20,28.7010-0.10-0.35%,28.70,10,-0.10,-0.35%,"28.802,6029.002,4029.4030",28.80,"2,60",29.00,"2,40",29.40,30,28.8028.7428.70,28.80,28.74,28.70,,,,,,
HSX,ADS,ADS,9.58,10.25,8.91,"188,70","9.456,209.465,009.4740",9.45,"6,20",9.46,"5,00",9.47,40,"9.478,00-0.11-1.15%",9.47,"8,00",-0.11,-1.15%,"9.501,909.5116,409.5210",9.50,"1,90",9.51,"16,40",9.52,10,9.589.499.43,9.58,9.49,9.43,,,,,,
HSX,AGG,AGG,16.80,17.95,15.65,"373,00","16.5525,1016.601,5016.6520,00",16.55,"25,10",16.60,"1,50",16.65,"20,00","16.80106,60",16.80,"106,60","16.8019,2016.855,1016.907,80",16.80,"19,20",16.85,"5,10",16.90,"7,80",16.9016.7016.55,16.90,16.70,16.55,"7,9020","7,90",20,,,,,
HSX,AGM,AGM,2.98,3.18,2.78,"322,50","2.946,602.9585,402.963,00",2.94,"6,60",2.95,"85,40",2.96,"3,00","2.9613,00-0.02-0.67%",2.96,"13,00",-0.02,-0.67%,"2.9712,602.9821,402.992,00",2.97,"12,60",2.98,"21,40",2.99,"2,00",3.002.962.95,3.00,2.96,2.95,,,,,,
HSX,AGR,AGR,17.90,19.15,16.65,"1,710,40","17.8539,2017.90115,9017.9534,90",17.85,"39,20",17.90,"115,90",17.95,"34,90","18.0027,00+0.10+0.56%",18.00,"27,00",+0.10,+0.56%,"18.0055,7018.0529,1018.1087,30",18.00,"55,70",18.05,"29,10",18.10,"87,30",18.1017.9817.80,18.10,17.98,17.80,"14,8073,10","14,80","73,10",,,
HSX,ANV,ANV,17.60,18.80,16.40,"2,224,50","17.4549,6017.5070,5017.5523,60",17.45,"49,60",17.50,"70,50",17.55,"23,60","17.6065,60",17.60,"65,60","17.6021,3017.6524,1017.7082,30",17.60,"21,30",17.65,"24,10",17.70,"82,30",17.8517.6917.55,17.85,17.69,17.55,"1,70189,90","1,70","189,90",,,,,
HSX,APG,APG,9.06,9.69,8.43,"294,00","9.042,409.052,709.0650",9.04,"2,40",9.05,"2,70",9.06,50,"9.062,50",9.06,"2,50","9.0713,609.09109.102,70",9.07,"13,60",9.09,10,9.10,"2,70",9.179.079.00,9.17,9.07,9.00,90,90,,,,,,
HSX,APH,APH,7.16,7.66,6.66,"412,70","7.182,507.199,007.202,50",7.18,"2,50",7.19,"9,00",7.20,"2,50","7.2010,20+0.04+0.56%",7.20,"10,20",+0.04,+0.56%,"7.211,007.242,007.256,90",7.21,"1,00",7.24,"2,00",7.25,"6,90",7.257.207.11,7.25,7.20,7.11,"17,50","17,50",,,,
HSX,ASG,ASG,17.75,18.95,16.55,"4,50",17.505017.559017.6090,17.50,50,17.55,90,17.60,90,17.6550-0.10-0.56%,17.65,50,-0.10,-0.56%,"17.704,8017.751,0017.8050",17.70,"4,80",17.75,"1,00",17.80,50,17.7017.6517.65,17.70,17.65,17.65,,,,,,
HNX,AAV,AAV,7.00,7.70,6.30,"347,00","6.70164,506.80125,206.903,40",6.70,"164,50",6.80,"125,20",6.90,"3,40","6.904,00-0.10-1.43%",6.90,"4,00",-0.10,-1.43%,"7.0067,407.1074,607.2043,70",7.00,"67,40",7.10,"74,60",7.20,"43,70",7.006.906.90,7.00,6.90,6.90,"298,40454,60","298,40","454,60",30,30,
HNX,ADC,ADC,21.80,23.90,19.70,21.201021.405022.0010,21.20,10,21.40,50,22.00,10,23.703023.9010,23.70,30,23.90,10,"2,0040","2,00",40,,,,,,,,,,,,,,,
HNX,ALT,ALT,12.60,13.80,11.40,"1,20","11.502011.602,2011.8010",11.50,20,11.60,"2,20",11.80,10,12.6030,12.60,30,"12.607012.706013.702,60",12.60,70,12.70,60,13.70,"2,60",12.6012.6012.60,12.60,12.60,12.60,"2,505,50","2,50","5,50",,,,,
HNX,AMC,AMC,19.00,20.90,17.10,"17.202,0017.301018.2020",17.20,"2,00",17.30,10,18.20,20,"19.001,8020.401020.9010",19.00,"1,80",20.40,10,20.90,10,"2,402,00","2,40","2,00",,,,,,,,,,,,,
HNX,AME,AME,4.80,5.20,4.40,"22,20","4.50104.606,204.701,30",4.50,10,4.60,"6,20",4.70,"1,30","4.801,00",4.80,"1,00","4.801,704.90305.005,20",4.80,"1,70",4.90,30,5.00,"5,20",4.804.804.60,4.80,4.80,4.60,"16,7010,20","16,70","10,20",,,,,
HNX,AMV,AMV,1.90,2.00,1.80,"3,679,30","1.90132,802.001,671,60166,60",1.90,"132,80",2.00,"1,671,60","166,60",2.0020+0.10+5.26%,2.00,20,+0.10,+5.26%,2.001.991.90,2.00,1.99,1.90,"2,460,30","2,460,30",,,,,,,,,,,,
HNX,API,API,7.50,8.20,6.80,"515,40","7.2081,007.3088,607.40177,60",7.20,"81,00",7.30,"88,60",7.40,"177,60","7.501,20",7.50,"1,20","7.5028,907.60110,607.7080,40",7.50,"28,90",7.60,"110,60",7.70,"80,40",7.607.517.40,7.60,7.51,7.40,"392,20790,60","392,20","790,60",,,,,
